Start Date (full),Start Date (part),End Date
7/22/19,,
11/26/18,6/14/17,
7/1/18,1/1/14,
1/1/17,,
10/5/20,,
9/15/20,,
8/25/20,7/1/14,
,12/10/18,
5/1/17,,
8/8/13,,
3/24/14,,
4/1/18,,
3/1/20,,
1/1/20,,
10/1/20,,
6/1/18,,
7/8/19,,
1/1/19,,5/4/21
9/23/20,,
1/1/21,9/1/19,
,,
4/25/21,11/1/20,
6/19/19,,
,,
8/24/19,,
,,
,6/1/15,
8/1/19,,
,,
,,
,,
,,
5/1/17,,
8/1/19,,
,,
,,
,8/1/19,
3/1/18,,
6/1/20,,
5/1/19,,
8/1/15,,
8/1/18,,
8/1/20,,5/31/21
,,
8/1/19,,
,,
2/1/21,,
8/25/19,,
8/1/19,,
2/1/21,,
,,
7/1/19,,
,,
4/27/20,,
,,
,,
,,
12/1/17,,3/27/20
11/1/17,,2/1/20
11/22/17,,5/30/18
4/26/21,,
4/12/21,,
7/10/21,,
7/10/21,,
9/1/2018,,2/1/2020
1/1/2015,,2/1/2020
